# Positional csv  (Up to date)
# 691 data points written for 4 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (25.9 m/s):  "Main Parachute"
#
# Time (s),Vertical acceleration (m/s²),Lateral acceleration (m/s²),Air pressure (Pa)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,1.012e5
0.008,83.115,16.309,1.012e5
0.018,84.062,16.463,1.012e5
# Event LIFTOFF occurred at t=0.028 seconds
0.028,85.289,15.039,1.012e5
0.038,86.235,15.206,1.012e5
0.048,87.183,15.373,1.012e5
0.058,88.131,15.54,1.012e5
0.068,89.08,15.707,1.012e5
0.078,90.03,15.875,1.012e5
0.088,90.981,16.042,1.012e5
0.098,91.934,16.21,1.012e5
0.108,92.888,16.379,1.012e5
0.118,93.843,16.547,1.012e5
0.128,94.8,16.716,1.012e5
0.138,95.757,16.884,1.012e5
0.148,96.705,17.052,1.012e5
0.157,97.585,17.207,1.012e5
0.165,98.41,17.352,1.012e5
# Event LAUNCHROD occurred at t=0.173 seconds
0.173,99.061,18.21,1.012e5
0.185,100.234,18.4,1.012e5
0.204,101.996,18.682,1.012e5
0.231,104.65,19.063,1.012e5
0.272,108.633,19.722,1.012e5
0.322,113.499,20.628,1.012e5
0.372,118.347,21.725,1.012e5
0.422,123.148,23.158,1.011e5
0.472,127.873,25.024,1.011e5
0.522,132.442,27.724,1.011e5
0.572,136.787,31.396,1.01e5
0.607,139.651,34.478,1.01e5
0.657,144.188,39.381,1.01e5
0.707,148.522,44.705,1.009e5
0.757,152.759,50.029,1.009e5
0.787,155.493,52.726,1.009e5
0.812,157.821,54.468,1.008e5
0.834,160.02,55.603,1.008e5
0.854,162.223,56.239,1.008e5
0.875,164.537,56.412,1.008e5
0.896,167.083,56.116,1.007e5
0.919,170.125,55.077,1.007e5
0.952,174.511,52.892,1.007e5
1.001,180.964,49.543,1.006e5
1.034,185.047,47.977,1.005e5
1.055,187.39,47.608,1.005e5
1.072,189.303,47.691,1.005e5
1.088,190.938,48.283,1.005e5
1.105,192.427,49.419,1.004e5
1.122,193.872,51.266,1.004e5
1.145,195.468,54.244,1.004e5
1.178,197.625,59.169,1.003e5
1.227,200.931,65.503,1.002e5
1.243,202.226,66.587,1.002e5
1.258,203.582,66.952,1.001e5
1.272,205.131,66.699,1.001e5
1.29,207.137,65.699,1.001e5
1.299,7.139,6.556,1.001e5
# Event BURNOUT occurred at t=1.306 seconds
1.306,-32.988,5.655,1e5
1.317,-32.656,6.425,1e5
1.334,-32.184,7.534,9.998e4
1.358,-31.591,8.86,9.993e4
1.379,-31.248,9.423,9.989e4
1.396,-31.106,9.365,9.985e4
1.414,-31.043,9.023,9.982e4
1.433,-31.08,8.255,9.978e4
1.459,-31.31,6.584,9.972e4
1.498,-31.771,3.808,9.964e4
1.52,-31.746,3.303,9.96e4
1.538,-31.562,3.41,9.956e4
1.557,-31.244,3.917,9.953e4
1.581,-30.742,4.9,9.948e4
1.616,-29.985,6.436,9.941e4
1.666,-29.213,7.707,9.931e4
1.693,-28.961,7.853,9.925e4
1.718,-28.936,7.222,9.921e4
1.752,-29.069,5.787,9.914e4
1.802,-29.117,4.367,9.904e4
1.844,-28.963,3.813,9.896e4
1.875,-28.658,4.028,9.89e4
1.912,-28.107,4.925,9.883e4
1.962,-27.308,6.455,9.874e4
2.004,-26.853,7.078,9.866e4
2.031,-26.716,6.93,9.861e4
2.06,-26.734,6.189,9.856e4
2.103,-26.942,4.506,9.848e4
2.153,-27.169,2.662,9.838e4
2.176,-27,2.734,9.834e4
2.2,-26.688,3.24,9.83e4
2.231,-26.105,4.516,9.824e4
2.278,-25.342,6.161,9.816e4
2.315,-25.032,6.447,9.809e4
2.345,-25.003,5.88,9.804e4
2.387,-25.001,5.037,9.797e4
2.437,-25.117,3.68,9.788e4
2.487,-25.068,2.897,9.779e4
2.521,-24.763,3.273,9.773e4
2.567,-24.165,4.426,9.766e4
2.617,-23.626,5.359,9.757e4
2.664,-23.333,5.522,9.749e4
2.705,-23.221,5.236,9.742e4
2.754,-23.314,4.106,9.734e4
2.804,-23.407,3.036,9.726e4
2.853,-23.222,2.914,9.718e4
2.898,-22.803,3.603,9.711e4
2.948,-22.322,4.427,9.703e4
2.998,-22.043,4.579,9.695e4
3.048,-21.909,4.27,9.687e4
3.098,-21.85,3.733,9.679e4
3.148,-21.706,3.526,9.671e4
3.198,-21.526,3.438,9.663e4
3.248,-21.337,3.362,9.656e4
3.298,-21.002,3.804,9.648e4
3.348,-20.698,4.17,9.64e4
3.398,-20.75,3.308,9.633e4
3.448,-20.558,3.32,9.626e4
3.498,-20.388,3.246,9.618e4
3.548,-20.178,3.313,9.611e4
3.598,-19.973,3.369,9.604e4
3.648,-19.743,3.534,9.596e4
3.698,-19.612,3.374,9.589e4
3.748,-19.521,3.092,9.582e4
3.798,-19.297,3.287,9.575e4
3.848,-19.184,3.108,9.568e4
3.898,-18.96,3.33,9.561e4
3.948,-18.893,3.033,9.555e4
3.998,-18.737,3.047,9.548e4
4.048,-18.7,2.666,9.542e4
4.098,-18.585,2.537,9.535e4
4.148,-18.478,2.355,9.529e4
4.198,-18.19,2.761,9.522e4
4.248,-17.91,3.159,9.516e4
4.298,-17.651,3.535,9.51e4
4.348,-17.534,3.467,9.504e4
4.398,-17.58,2.884,9.497e4
4.448,-17.537,2.638,9.491e4
4.498,-17.451,2.543,9.485e4
4.548,-17.47,2.108,9.479e4
4.598,-17.365,2.043,9.473e4
4.648,-17.164,2.256,9.467e4
4.698,-16.935,2.552,9.462e4
4.748,-16.715,2.831,9.456e4
4.798,-16.627,2.706,9.45e4
4.848,-16.522,2.654,9.444e4
4.898,-16.484,2.402,9.439e4
4.948,-16.346,2.478,9.433e4
4.998,-16.218,2.534,9.427e4
5.048,-16.181,2.311,9.422e4
5.098,-16.038,2.428,9.416e4
5.148,-15.969,2.323,9.411e4
5.198,-15.939,2.103,9.405e4
5.248,-15.889,1.942,9.4e4
5.298,-15.745,2.056,9.395e4
5.348,-15.638,2.053,9.389e4
5.398,-15.454,2.287,9.384e4
5.448,-15.333,2.338,9.379e4
5.498,-15.178,2.509,9.374e4
5.548,-15.094,2.481,9.369e4
5.598,-15.086,2.242,9.363e4
5.648,-15.076,2.024,9.358e4
5.698,-15.065,1.815,9.353e4
5.748,-15.045,1.627,9.348e4
5.798,-14.979,1.558,9.343e4
5.848,-14.852,1.642,9.339e4
5.898,-14.676,1.861,9.334e4
5.948,-14.448,2.237,9.329e4
5.998,-14.278,2.467,9.324e4
6.048,-14.144,2.617,9.319e4
6.098,-14.111,2.494,9.315e4
6.148,-14.08,2.392,9.31e4
6.198,-14.183,1.938,9.305e4
6.248,-14.373,1.283,9.301e4
6.298,-14.419,1.009,9.296e4
6.348,-14.345,1.011,9.292e4
6.398,-14.149,1.291,9.287e4
6.448,-13.945,1.58,9.283e4
6.498,-13.756,1.834,9.279e4
6.548,-13.588,2.05,9.274e4
6.598,-13.434,2.244,9.27e4
6.648,-13.395,2.148,9.266e4
6.698,-13.293,2.237,9.261e4
6.748,-13.279,2.107,9.257e4
6.798,-13.4,1.644,9.253e4
6.848,-13.395,1.518,9.249e4
6.898,-13.424,1.31,9.245e4
6.948,-13.366,1.307,9.241e4
6.998,-13.325,1.257,9.237e4
7.048,-13.235,1.314,9.233e4
7.098,-13.18,1.281,9.229e4
7.148,-13.096,1.31,9.225e4
7.198,-12.955,1.474,9.221e4
7.248,-12.767,1.758,9.217e4
7.298,-12.656,1.869,9.213e4
7.348,-12.595,1.865,9.209e4
7.398,-12.609,1.69,9.206e4
7.448,-12.671,1.407,9.202e4
7.498,-12.62,1.401,9.198e4
7.548,-12.583,1.363,9.195e4
7.598,-12.549,1.319,9.191e4
7.648,-12.501,1.308,9.187e4
7.698,-12.441,1.323,9.184e4
7.748,-12.41,1.273,9.18e4
7.798,-12.369,1.244,9.177e4
7.848,-12.254,1.384,9.173e4
7.898,-12.146,1.51,9.17e4
7.948,-12.087,1.529,9.167e4
7.998,-12.151,1.285,9.163e4
8.048,-12.133,1.223,9.16e4
8.098,-12.111,1.173,9.157e4
8.148,-12.052,1.198,9.153e4
8.198,-12.066,1.071,9.15e4
8.248,-11.993,1.124,9.147e4
8.298,-11.931,1.152,9.144e4
8.348,-11.913,1.09,9.141e4
8.398,-11.913,0.991,9.138e4
8.448,-11.87,0.977,9.135e4
8.498,-11.766,1.085,9.132e4
8.548,-11.594,1.333,9.129e4
8.598,-11.551,1.324,9.126e4
8.648,-11.539,1.256,9.123e4
8.698,-11.527,1.192,9.12e4
8.748,-11.469,1.223,9.117e4
8.798,-11.382,1.317,9.114e4
8.848,-11.369,1.267,9.111e4
8.898,-11.316,1.299,9.108e4
8.948,-11.295,1.274,9.106e4
8.998,-11.365,1.081,9.103e4
9.048,-11.416,0.929,9.1e4
9.098,-11.505,0.717,9.098e4
9.148,-11.483,0.7,9.095e4
9.198,-11.393,0.796,9.092e4
9.248,-11.34,0.824,9.09e4
9.298,-11.256,0.903,9.087e4
9.348,-11.291,0.776,9.085e4
9.398,-11.205,0.855,9.082e4
9.448,-11.156,0.869,9.08e4
9.498,-11.085,0.92,9.077e4
9.548,-11.053,0.907,9.075e4
9.598,-11.007,0.917,9.073e4
9.648,-10.9,1.033,9.07e4
9.698,-10.878,1.007,9.068e4
9.748,-10.819,1.045,9.066e4
9.798,-10.8,1.019,9.064e4
9.848,-10.772,1.011,9.061e4
9.898,-10.748,1,9.059e4
9.948,-10.734,0.974,9.057e4
9.998,-10.721,0.949,9.055e4
10.048,-10.724,0.9,9.053e4
10.098,-10.746,0.826,9.051e4
10.148,-10.804,0.7,9.049e4
10.198,-10.783,0.694,9.047e4
10.248,-10.787,0.649,9.045e4
10.298,-10.753,0.66,9.043e4
10.348,-10.715,0.675,9.041e4
10.398,-10.715,0.634,9.039e4
10.448,-10.615,0.733,9.037e4
10.498,-10.593,0.722,9.035e4
10.548,-10.538,0.758,9.033e4
10.598,-10.472,0.809,9.032e4
10.648,-10.447,0.804,9.03e4
10.698,-10.403,0.827,9.028e4
10.748,-10.391,0.806,9.027e4
10.798,-10.334,0.848,9.025e4
10.848,-10.26,0.913,9.023e4
10.898,-10.285,0.85,9.022e4
10.948,-10.326,0.77,9.02e4
10.998,-10.283,0.798,9.019e4
11.048,-10.269,0.79,9.017e4
11.098,-10.326,0.7,9.016e4
11.148,-10.341,0.661,9.015e4
11.198,-10.302,0.687,9.013e4
11.248,-10.292,0.679,9.012e4
11.298,-10.3,0.651,9.01e4
11.348,-10.31,0.622,9.009e4
11.398,-10.337,0.575,9.008e4
11.448,-10.326,0.568,9.007e4
11.498,-10.364,0.512,9.005e4
11.548,-10.33,0.527,9.004e4
11.598,-10.314,0.522,9.003e4
11.648,-10.263,0.551,9.002e4
11.698,-10.259,0.533,9.001e4
11.748,-10.208,0.559,9e4
11.798,-10.16,0.581,8.999e4
11.848,-10.093,0.621,8.998e4
11.898,-10.06,0.628,8.997e4
11.948,-10.064,0.601,8.996e4
11.998,-10.007,0.631,8.995e4
12.048,-9.974,0.639,8.994e4
12.098,-9.977,0.616,8.993e4
12.148,-9.958,0.612,8.992e4
12.198,-9.966,0.587,8.991e4
12.248,-9.958,0.575,8.99e4
12.298,-9.918,0.591,8.989e4
12.348,-9.915,0.576,8.989e4
12.398,-9.898,0.574,8.988e4
12.448,-9.913,0.547,8.987e4
12.498,-9.89,0.55,8.986e4
12.548,-9.887,0.538,8.986e4
12.598,-9.9,0.515,8.985e4
12.648,-9.885,0.513,8.985e4
12.698,-9.851,0.526,8.984e4
12.748,-9.833,0.526,8.983e4
12.798,-9.81,0.532,8.983e4
12.848,-9.817,0.516,8.982e4
12.898,-9.821,0.503,8.982e4
12.948,-9.808,0.502,8.981e4
12.998,-9.816,0.487,8.981e4
13.048,-9.819,0.475,8.98e4
13.098,-9.825,0.463,8.98e4
13.148,-9.825,0.454,8.98e4
13.198,-9.815,0.452,8.979e4
13.248,-9.813,0.445,8.979e4
13.298,-9.793,0.451,8.979e4
13.348,-9.785,0.448,8.978e4
13.398,-9.778,0.444,8.978e4
13.448,-9.774,0.438,8.978e4
13.498,-9.769,0.433,8.978e4
13.548,-9.761,0.43,8.978e4
13.598,-9.746,0.434,8.977e4
13.648,-9.745,0.424,8.977e4
13.698,-9.735,0.423,8.977e4
13.748,-9.73,0.416,8.977e4
13.798,-9.723,0.41,8.977e4
13.848,-9.712,0.412,8.977e4
# Event APOGEE occurred at t=13.898 seconds
13.898,-9.704,0.412,8.977e4
13.948,-9.697,0.412,8.977e4
13.998,-9.69,0.409,8.977e4
14.048,-9.686,0.413,8.977e4
14.098,-9.682,0.415,8.977e4
14.148,-9.678,0.413,8.977e4
14.198,-9.668,0.404,8.978e4
14.248,-9.665,0.405,8.978e4
14.298,-9.67,0.413,8.978e4
14.348,-9.683,0.428,8.978e4
14.398,-9.678,0.425,8.978e4
14.448,-9.667,0.418,8.979e4
14.498,-9.652,0.409,8.979e4
14.548,-9.654,0.413,8.979e4
14.598,-9.655,0.417,8.98e4
14.648,-9.652,0.419,8.98e4
14.698,-9.64,0.414,8.98e4
14.748,-9.64,0.418,8.981e4
14.798,-9.644,0.425,8.981e4
14.848,-9.667,0.447,8.982e4
# Event SIM_WARN occurred at t=14.898 seconds: Recovery device deployment at high speed (25.9 m/s):  "Main Parachute"
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=14.898 seconds
14.898,32.251,118.481,8.982e4
14.906,29.836,110.962,8.982e4
14.914,27.527,103.831,8.982e4
14.924,25.307,96.97,8.983e4
14.934,23.176,90.38,8.983e4
14.944,21.132,84.059,8.983e4
14.956,19.09,77.505,8.983e4
14.968,17.045,70.726,8.983e4
14.982,15.083,64.221,8.983e4
14.997,13.202,57.991,8.983e4
15.014,11.513,52.619,8.983e4
15.033,9.934,47.636,8.983e4
15.053,8.436,42.883,8.984e4
15.076,6.977,38.152,8.984e4
15.102,5.611,33.715,8.984e4
15.131,4.378,29.756,8.984e4
15.164,3.212,25.954,8.984e4
15.203,2.11,22.298,8.985e4
15.247,1.217,19.378,8.985e4
15.299,0.393,16.585,8.985e4
15.359,-0.43,13.673,8.986e4
15.432,-1.275,10.567,8.986e4
15.526,-1.651,8.716,8.987e4
15.639,-1.908,7.008,8.987e4
15.777,-1.9,5.736,8.988e4
15.942,-1.86,4.234,8.989e4
16.158,-1.139,4.091,8.991e4
16.394,-1.067,2.455,8.993e4
16.767,-0.468,0.752,8.996e4
17.202,0.041,1.107,9e4
17.627,-0.059,0.051,9.003e4
18.052,0.009,0.332,9.007e4
18.475,0.012,0.529,9.01e4
18.899,0.013,0.689,9.014e4
19.323,-0.019,0.222,9.018e4
19.747,0.005,0.284,9.021e4
20.17,0.103,1.447,9.025e4
20.593,-0.099,0.194,9.029e4
